enrollmentid,personid,calendarid,grade,startdate,enddate,schoolid,calendar_startdate,calendar_enddate,endyear,zip,schoolname,startyear,label,active,final_enddate
128979,14240,416,12,2020-09-02,2021-06-25,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
128980,14244,416,12,2020-09-02,2021-06-25,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
128601,14245,416,10,2020-09-02,,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
128984,14250,416,12,2020-09-02,2021-06-25,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
128782,14577,416,11,2020-09-02,,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
129004,14715,416,12,2020-09-02,2021-06-25,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
129003,14723,416,12,2020-09-02,2021-06-25,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
129006,14775,416,12,2020-09-02,2021-06-25,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
129008,14814,416,12,2020-09-02,2021-06-25,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
128837,14832,416,11,2020-09-02,,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
129020,14944,416,12,2020-09-02,2021-06-25,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
129023,14975,416,12,2020-09-02,2021-06-25,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
128863,15078,416,11,2020-09-02,,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
128864,15084,416,11,2020-09-02,,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
128873,15110,416,11,2020-09-02,,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
129034,15116,416,12,2020-09-02,2021-06-25,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
128686,15121,416,10,2020-09-02,,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
128886,15157,416,11,2020-09-02,,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
129058,15202,416,12,2020-09-02,2021-06-25,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
129074,15207,416,12,2020-09-02,2021-06-25,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
128854,15293,416,11,2020-09-02,,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
129055,15556,416,12,2020-09-02,2021-06-25,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
129047,16663,416,12,2020-09-02,2021-06-25,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
131457,16712,416,09,2020-09-01,,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
131490,16736,416,09,2020-09-01,,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
128571,16907,416,10,2020-09-02,2021-06-25,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
128844,17163,416,11,2020-09-02,,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
128708,17687,416,10,2020-09-02,,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
128804,17977,416,11,2020-09-02,,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
142893,18003,416,10,2020-09-02,,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
128739,24592,416,11,2020-09-02,,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
128895,24611,416,11,2020-09-02,,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
128740,24627,416,11,2020-09-02,,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
128767,24661,416,11,2020-09-02,,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
128769,24670,416,11,2020-09-02,,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
128775,24701,416,11,2020-09-02,,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
128776,24706,416,11,2020-09-02,,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
131486,24707,416,09,2020-09-01,,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
128780,24709,416,11,2020-09-02,,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
128588,24731,416,10,2020-09-02,,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
128809,24765,416,11,2020-09-02,,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
128810,24774,416,11,2020-09-02,,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
128812,24779,416,11,2020-09-02,,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
128622,24789,416,10,2020-09-02,,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
128627,24792,416,10,2020-09-02,,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
128674,24824,416,10,2020-09-02,,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
131503,24830,416,09,2020-09-01,,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
128849,24841,416,11,2020-09-02,,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
128857,24858,416,11,2020-09-02,,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
128861,24871,416,11,2020-09-02,,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
128874,24947,416,11,2020-09-02,,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
128880,24951,416,11,2020-09-02,,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
128881,24960,416,11,2020-09-02,,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
140875,24974,416,09,2020-09-01,,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
128888,24975,416,11,2020-09-02,,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
128885,24978,416,11,2020-09-02,,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
128901,25003,416,11,2020-09-02,,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
128902,25008,416,11,2020-09-02,,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
128910,25014,416,11,2020-09-02,,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
131501,25065,416,09,2020-09-01,,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
129001,27232,416,12,2020-09-02,2021-06-25,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
128743,27295,416,11,2020-09-02,,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
128747,27329,416,11,2020-09-02,,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
128554,27338,416,10,2020-09-02,,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
128557,27341,416,10,2020-09-02,,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
128773,27344,416,11,2020-09-02,,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
128566,27364,416,10,2020-09-02,,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
128786,27369,416,11,2020-09-02,,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
128788,27374,416,11,2020-09-02,,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
128791,27378,416,11,2020-09-02,,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
128593,27388,416,10,2020-09-02,,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
140854,27390,416,09,2020-09-01,,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
133837,27445,416,09,2020-09-01,,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
128803,27480,416,11,2020-09-02,,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
128679,27889,416,10,2020-09-02,,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
128868,27904,416,11,2020-09-02,,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
128877,27926,416,11,2020-09-02,,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
131524,27930,416,09,2020-09-01,,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
131523,27931,416,09,2020-09-01,,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
128894,27973,416,11,2020-09-02,,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
128721,28001,416,10,2020-09-02,,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
133866,28985,416,09,2020-09-01,2021-06-25,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
128798,29167,416,11,2020-09-02,,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
131473,29168,416,09,2020-09-01,,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
129016,29183,416,12,2020-09-02,2021-06-25,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
128771,29261,416,11,2020-09-02,,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
129025,29552,416,12,2020-09-02,2021-06-25,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
128528,32061,416,10,2020-09-02,,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
128546,32177,416,10,2020-09-02,,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
128550,32191,416,10,2020-09-02,,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
128558,32223,416,10,2020-09-02,,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
128573,32276,416,10,2020-09-02,,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
131472,32278,416,09,2020-09-01,,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
128586,32288,416,10,2020-09-02,,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
129022,32289,416,12,2020-09-02,2021-06-25,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
131474,32308,416,09,2020-09-01,,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
128590,32311,416,10,2020-09-02,,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
128602,32325,416,10,2020-09-02,,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
128609,32337,416,10,2020-09-02,,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
128610,32341,416,10,2020-09-02,,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
128611,32347,416,10,2020-09-02,,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
131487,32349,416,09,2020-09-01,,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
128617,32355,416,10,2020-09-02,,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
128628,32409,416,10,2020-09-02,,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
131492,32444,416,09,2020-09-01,,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
131493,32451,416,09,2020-09-01,,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
131495,32520,416,09,2020-09-01,,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
131496,32540,416,09,2020-09-01,,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
128665,32642,416,10,2020-09-02,,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
131488,32676,416,09,2020-09-01,,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
128690,32876,416,10,2020-09-02,,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
131525,32888,416,09,2020-09-01,,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
128712,32902,416,10,2020-09-02,,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
131527,32916,416,09,2020-09-01,,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
128718,32936,416,10,2020-09-02,,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
131539,32946,416,09,2020-09-01,,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
128911,32947,416,11,2020-09-02,,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
128530,32982,416,10,2020-09-02,,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
133850,33059,416,09,2020-09-01,,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
128564,33070,416,10,2020-09-02,,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
128576,33109,416,10,2020-09-02,,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
128599,33183,416,10,2020-09-02,,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
128761,33240,416,11,2020-09-02,,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
128832,33277,416,11,2020-09-02,,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
128583,33334,416,10,2020-09-02,,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
128527,33560,416,10,2020-09-02,,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
128538,33603,416,10,2020-09-02,,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
128710,34049,416,10,2020-09-02,,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
128677,34081,416,10,2020-09-02,,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
128596,34208,416,10,2020-09-02,,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
128604,34228,416,10,2020-09-02,,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
140860,34425,416,09,2020-09-01,,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
128623,34491,416,10,2020-09-02,,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
128631,34548,416,10,2020-09-02,,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
128642,34578,416,10,2020-09-02,,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
133859,34650,416,09,2020-09-01,,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
140866,34735,416,09,2020-09-01,,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
128655,34788,416,10,2020-09-02,,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
140871,34842,416,09,2020-09-01,,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
128684,34896,416,10,2020-09-02,,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
128963,34988,416,12,2020-09-02,2021-06-25,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
140873,35029,416,09,2020-09-01,,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
140874,35074,416,09,2020-09-01,,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
128714,35130,416,10,2020-09-02,,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
140887,35133,416,09,2020-09-01,,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
128754,35358,416,11,2020-09-02,,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
128815,35393,416,11,2020-09-02,,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
128827,35423,416,11,2020-09-02,,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
128887,35463,416,11,2020-09-02,,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
128597,35512,416,10,2020-09-02,,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
128598,35535,416,09,2020-09-01,,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
128722,35541,416,10,2020-09-02,,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
128908,35543,416,11,2020-09-02,,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
128603,35583,416,10,2020-09-02,,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
133868,35618,416,09,2020-09-01,,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
128968,35627,416,12,2020-09-02,2021-06-25,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
128612,35663,416,10,2020-09-02,,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
133869,35766,416,09,2020-09-01,,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
128619,35782,416,10,2020-09-02,,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
128633,35809,416,10,2020-09-02,,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
128640,35887,416,10,2020-09-02,,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
128641,35896,416,10,2020-09-02,,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
128649,35943,416,10,2020-09-02,,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
128654,35960,416,10,2020-09-02,,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
133880,35971,416,09,2020-09-01,,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
140861,35987,416,09,2020-09-01,2021-06-25,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
128678,36013,416,10,2020-09-02,,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
128545,36096,416,10,2020-09-02,,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
128668,36175,416,10,2020-09-02,,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
133883,36177,416,09,2020-09-01,,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
128672,36190,416,10,2020-09-02,,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
128860,36198,416,11,2020-09-02,,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
133887,36221,416,09,2020-09-01,,30,2020-09-01,2021-06-25,2021,6511,ac,2020,20-21,1,2021-06-25
